request_id,flexibility,model,task,prompt,source,prompt_id,semantic_dispersion
1,4,gemini-2.0-flash,1,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,gemini-2.0-flash,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,0.7598971085733747
2,5,gemini-2.0-flash,1,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,gemini-2.0-flash,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,0.7492594950554372
3,4,gpt-4o-mini,1,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,gpt-4o-mini,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,0.7611756330684128
4,5,claude-sonnet-4-20250514,1,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,claude-sonnet-4-20250514,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,0.7723876411086136
5,5,gemini-2.0-flash,1,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,gemini-2.0-flash,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,0.7581192188591814
6,3,gpt-4o-mini,1,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,gpt-4o-mini,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,0.7459057348389931
7,4,gemini-2.0-flash,1,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,gemini-2.0-flash,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,0.7575254653446057
8,4,gemini-2.0-flash,1,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,gemini-2.0-flash,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,0.7528478970027377
9,5,claude-sonnet-4-20250514,1,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,claude-sonnet-4-20250514,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,0.7591754667899144
10,4,gemini-2.0-flash,1,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,gemini-2.0-flash,List as many alternate uses for a brick as you can. Respond as JSON with {idea} and optionally an {explanation}.,0.7488957197479963
